RANK_steals_2016,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
139,Brook Lopez,BKN,44,33.4,32,0.73,1.04,101,2.30,133,0.32,0.24
140,Danny Green,SA,44,25.1,32,0.73,1.39,48,1.09,62,0.67,0.52
141,Patrick Patterson,TOR,43,24.0,31,0.72,1.44,35,0.81,60,0.89,0.52
142,Isaiah Canaan,PHI,43,25.1,31,0.72,1.38,59,1.37,73,0.53,0.42
143,Jerami Grant,PHI,42,25.6,30,0.71,1.34,52,1.24,121,0.58,0.25
144,Marcin Gortat,WSH,35,31.8,25,0.71,1.08,67,1.91,87,0.37,0.29
145,Tyler Johnson,MIA,34,24.0,24,0.71,1.41,44,1.29,61,0.55,0.39
146,Stanley Johnson,DET,44,22.3,31,0.70,1.52,62,1.41,100,0.50,0.31
147,Jameer Nelson,DEN,36,27.6,25,0.69,1.21,64,1.78,95,0.39,0.26
148,Jeremy Lin,CHA,42,27.1,29,0.69,1.22,79,1.88,99,0.37,0.29
149,Jeff Green,MEM,45,28.6,31,0.69,1.16,62,1.38,89,0.50,0.35
150,Danilo Gallinari,DEN,38,34.5,26,0.68,0.95,50,1.32,67,0.52,0.39
151,Joe Johnson,BKN,44,34.2,30,0.68,0.96,80,1.82,81,0.38,0.37
152,Julius Randle,LAL,45,26.6,30,0.67,1.20,78,1.73,134,0.38,0.22
153,Karl-Anthony Towns,MIN,45,29.3,30,0.67,1.09,94,2.09,140,0.32,0.21
154,Amir Johnson,BOS,41,23.9,27,0.66,1.32,50,1.22,117,0.54,0.23
155,Justise Winslow,MIA,41,27.0,27,0.66,1.17,56,1.37,89,0.48,0.30
156,Trey Burke,UTAH,43,24.6,28,0.65,1.27,60,1.40,57,0.47,0.49
157,Zach LaVine,MIN,45,23.0,29,0.64,1.34,88,1.96,101,0.33,0.29
158,Dirk Nowitzki,DAL,41,30.8,26,0.63,0.99,45,1.10,73,0.58,0.36
159,Jeremy Lamb,CHA,38,21.7,24,0.63,1.40,34,0.89,62,0.71,0.39
160,Luis Scola,TOR,43,23.5,27,0.63,1.28,40,0.93,107,0.68,0.25
161,Wayne Ellington,BKN,43,18.5,27,0.63,1.63,27,0.63,38,1.00,0.71
162,Austin Rivers,LAC,40,22.0,25,0.63,1.37,33,0.83,85,0.76,0.29
163,Ryan Anderson,NO,41,31.3,25,0.61,0.93,65,1.59,68,0.38,0.37
164,Josh Smith,HOU/LAC,33,14.5,20,0.61,2.00,43,1.30,66,0.47,0.30
165,Nik Stauskas,PHI,38,23.6,23,0.61,1.23,46,1.21,53,0.50,0.43
166,Dwight Powell,DAL,43,17.3,26,0.60,1.68,31,0.72,93,0.84,0.28
167,Ed Davis,POR,45,21.1,27,0.60,1.36,35,0.78,117,0.77,0.23
168,Zach Randolph,MEM,40,28.6,24,0.60,1.01,56,1.40,79,0.43,0.30
169,Jordan Hill,IND,40,21.7,24,0.60,1.33,53,1.33,97,0.45,0.25
170,Derrick Rose,CHI,37,32.6,22,0.59,0.88,99,2.68,56,0.22,0.39
171,Jon Leuer,PHX,41,20.8,24,0.59,1.35,51,1.24,85,0.47,0.28
172,David West,SA,43,16.7,25,0.58,1.67,38,0.88,75,0.66,0.33
173,Marvin Williams,CHA,44,29.4,25,0.57,0.93,32,0.73,69,0.78,0.36
174,Pau Gasol,CHI,41,31.5,23,0.56,0.85,81,1.98,82,0.28,0.28
175,Hassan Whiteside,MIA,41,28.9,23,0.56,0.93,85,2.07,99,0.27,0.23
