RANK_scoring-per-game_2015,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
240,Joe Ingles,UTAH,79,21.2,5.0,1.9-4.5,.415,0.9-2.6,.356,0.4-0.5,.750
241,Lavoy Allen,IND,63,17.0,5.0,2.2-4.7,.472,0.0-0.0,.000,0.5-0.7,.702
242,Dante Exum,UTAH,82,22.2,4.8,1.8-5.1,.349,1.0-3.2,.314,0.2-0.4,.625
243,Matthew Dellavedova,CLE,67,20.6,4.8,1.7-4.6,.362,1.0-2.5,.407,0.4-0.6,.763
244,Damjan Rudez,IND,68,15.4,4.8,1.8-3.9,.452,1.0-2.5,.406,0.2-0.3,.696
245,Bismack Biyombo,CHA,64,19.4,4.8,1.6-2.9,.543,0.0-0.0,.000,1.6-2.7,.583
246,Robert Sacre,LAL,67,16.9,4.6,1.9-4.6,.412,0.0-0.0,.000,0.8-1.2,.671
247,Jon Leuer,MEM,63,13.1,4.5,1.9-4.3,.443,0.1-0.5,.241,0.6-0.9,.627
248,Andre Miller,SAC/WSH,81,15.5,4.4,1.8-3.6,.500,0.1-0.4,.206,0.7-1.0,.753
249,Nik Stauskas,SAC,73,15.4,4.4,1.5-4.1,.365,0.7-2.0,.322,0.8-0.9,.859
250,Ian Mahinmi,IND,61,18.8,4.3,1.9-3.5,.552,0.0-0.0,.000,0.5-1.7,.304
251,Steve Blake,POR,81,18.9,4.3,1.5-4.0,.373,1.0-2.7,.352,0.4-0.5,.707
252,Justin Holiday,GS,59,11.1,4.3,1.5-4.0,.387,0.6-1.8,.321,0.6-0.8,.822
253,Udonis Haslem,MIA,62,16.0,4.2,1.7-3.9,.448,0.0-0.2,.200,0.7-1.0,.703
254,Nick Calathes,MEM,58,14.4,4.2,1.8-4.3,.421,0.2-0.7,.256,0.4-0.8,.533
255,Nick Collison,OKC,66,16.7,4.1,1.6-3.8,.419,0.2-0.9,.267,0.7-1.0,.692
256,Pablo Prigioni,HOU/NY,67,17.9,4.1,1.4-3.4,.399,0.9-2.5,.343,0.5-0.6,.854
257,Luke Babbitt,NO,63,13.2,4.1,1.5-3.0,.479,0.9-1.8,.513,0.2-0.3,.684
258,Miles Plumlee,MIL/PHX,73,16.4,4.0,1.9-3.5,.535,0.0-0.0,.000,0.3-0.6,.478
259,Glen Davis,LAC,74,12.2,4.0,1.6-3.4,.459,0.0-0.1,.000,0.8-1.3,.632
260,Hedo Turkoglu,LAC,62,11.4,3.7,1.3-3.0,.441,1.0-2.2,.432,0.1-0.2,.545
261,Matt Bonner,SA,72,13.0,3.7,1.3-3.2,.409,0.6-1.8,.365,0.4-0.5,.811
262,Dewayne Dedmon,ORL,59,14.3,3.7,1.5-2.7,.562,0.0-0.0,.000,0.6-1.1,.531
263,Tyler Hansbrough,TOR,74,14.3,3.6,1.2-2.2,.521,0.0-0.1,.143,1.3-1.9,.698
264,Kendrick Perkins,CLE/OKC,68,16.9,3.6,1.5-3.3,.449,0.0-0.0,.000,0.6-1.2,.506
265,Andre Roberson,OKC,67,19.2,3.4,1.4-3.0,.458,0.3-1.3,.247,0.3-0.7,.479
266,Jason Maxiell,CHA,61,14.4,3.3,1.3-3.1,.422,0.0-0.0,.000,0.7-1.2,.577
267,Joey Dorsey,HOU,69,12.4,2.7,1.2-2.1,.552,0.0-0.0,.000,0.3-1.2,.289
